UNH;285.33;3.00
QTS;63.42;3.00
MHK;77.32;3.01
TCOM;23.70;3.04
LMNX;33.79;3.05
ASB;12.13;3.06
FND;35.61;3.07
NEWR;50.33;3.07
PSX;59.97;3.08
URI;103.73;3.09
URTY;21.31;3.10
BHVN;44.24;3.10
FLS;25.43;3.12
ELF;11.20;3.13
XOM;43.45;3.13
PRVB;11.13;3.15
MTH;40.40;3.17
RUSL;12.37;3.17
JBL;24.72;3.17
EXPE;63.37;3.17
MSG;237.22;3.18
BYD;14.57;3.19
ITT;49.03;3.22
IYE;18.24;3.23
XLE;34.54;3.23
LSXMA;30.99;3.23
ALSN;33.50;3.24
ENPH;39.48;3.24
VDE;45.80;3.27
MIDD;52.99;3.27
CSIQ;16.97;3.29
TDG;314.28;3.29
FRT;70.19;3.30
GMED;46.53;3.33
RAD;13.64;3.33
DD;41.20;3.34
CE;78.02;3.34
SFL;10.48;3.35
NUVA;58.20;3.36
VCEL;13.18;3.37
RXN;24.44;3.38
GDOT;28.52;3.41
ZBH;112.99;3.41
CFG;20.25;3.42
NTAP;41.04;3.43
COP;36.18;3.43
NXST;58.75;3.43
ALV;56.60;3.44
TRN;16.24;3.44
LILAK;10.19;3.45
TEVA;10.18;3.46
IIVI;29.69;3.49
IRDM;23.74;3.49
AXDX;10.01;3.52
BG;39.13;3.52
UNP;152.29;3.53
CNQ;13.79;3.53
WK;33.32;3.54
VIR;31.15;3.56
CDNA;24.08;3.57
WSM;54.85;3.59
LH;159.67;3.59
NUE;37.72;3.63
NEP;48.26;3.63
KMT;23.22;3.66
RDN;13.01;3.67
PSXP;44.00;3.68
MGM;13.78;3.69
G;32.05;3.69
THO;54.35;3.70
BLDR;13.96;3.71
RUN;13.11;3.72
PII;61.47;3.73
TGE;22.39;3.75
CMA;31.60;3.78
HRI;22.18;3.79
ERI;15.58;3.80
SEM;15.06;3.86
FMC;87.37;3.88
TEX;13.33;3.90
BWA;26.65;3.90
KEY;10.63;3.91
VIAC;15.52;3.92
XOP;46.58;3.93
ESNT;24.86;3.93
GRA;40.25;3.95
EMN;56.00;3.95
PACW;16.73;3.98
WAL;30.26;3.99
XENT;10.69;3.99
TTD;253.97;4.01
AXNX;35.04;4.01
IBTX;23.83;4.06
FAF;42.26;4.06
ARWR;38.45;4.09
WYND;22.46;4.13
CNXM;12.50;4.17
IONS;56.96;4.19
KKR;23.10;4.19
AKR;10.91;4.20
NLSN;12.36;4.22
